iter	Passed	Remaining
0	159	44795
1	176	24669
2	193	17954
3	210	14620
4	226	12574
5	244	11244
6	263	10358
7	283	9693
8	299	9078
9	315	8594
10	332	8191
11	349	7856
12	366	7573
13	382	7318
14	398	7100
15	415	6903
16	432	6740
17	449	6586
18	466	6453
19	482	6323
20	499	6206
21	515	6094
22	532	5993
23	548	5901
24	566	5824
25	583	5743
26	599	5666
27	616	5595
28	633	5524
29	649	5459
30	666	5397
31	683	5337
32	699	5279
33	716	5227
34	734	5181
35	750	5129
36	769	5097
37	788	5060
38	806	5022
39	826	5001
40	847	4982
41	867	4958
42	886	4929
43	905	4897
44	924	4868
45	942	4836
46	961	4806
47	980	4778
48	999	4751
49	1018	4723
50	1040	4711
51	1062	4700
52	1085	4689
53	1107	4677
54	1126	4648
55	1147	4629
56	1163	4594
57	1181	4563
58	1198	4529
59	1217	4502
60	1233	4470
61	1250	4437
62	1267	4407
63	1284	4376
64	1301	4345
65	1318	4314
66	1335	4286
67	1352	4256
68	1369	4226
69	1388	4206
70	1418	4214
71	1435	4187
72	1452	4157
73	1469	4131
74	1489	4110
75	1506	4083
76	1523	4055
77	1540	4029
78	1558	4003
79	1574	3976
80	1591	3949
81	1608	3922
82	1624	3895
83	1641	3869
84	1658	3842
85	1674	3815
86	1691	3790
87	1708	3765
88	1724	3740
89	1741	3714
90	1757	3688
91	1773	3663
92	1790	3638
93	1807	3614
94	1823	3589
95	1840	3566
96	1858	3543
97	1874	3519
98	1891	3496
99	1907	3472
100	1925	3449
101	1944	3432
102	1962	3410
103	1978	3386
104	1995	3363
105	2012	3341
106	2029	3319
107	2047	3298
108	2064	3276
109	2081	3254
110	2098	3232
111	2115	3210
112	2132	3188
113	2148	3166
114	2165	3144
115	2182	3123
116	2199	3102
117	2216	3080
118	2233	3059
119	2250	3037
120	2266	3015
121	2288	3001
122	2309	2985
123	2330	2970
124	2357	2961
125	2381	2949
126	2405	2935
127	2423	2915
128	2440	2894
129	2457	2872
130	2477	2855
131	2496	2836
132	2513	2815
133	2529	2794
134	2547	2774
135	2565	2754
136	2582	2733
137	2599	2712
138	2615	2691
139	2632	2669
140	2648	2648
141	2666	2628
142	2682	2607
143	2699	2587
144	2716	2566
145	2732	2545
146	2749	2524
147	2765	2504
148	2782	2483
149	2799	2463
150	2816	2443
151	2834	2424
152	2851	2404
153	2867	2383
154	2884	2363
155	2901	2343
156	2917	2323
157	2934	2302
158	2950	2282
159	2967	2262
160	2984	2243
161	3004	2225
162	3023	2207
163	3039	2187
164	3058	2168
165	3074	2148
166	3091	2128
167	3108	2109
168	3124	2089
169	3141	2069
170	3157	2049
171	3175	2031
172	3192	2011
173	3209	1991
174	3226	1972
175	3242	1952
176	3259	1933
177	3275	1913
178	3292	1894
179	3309	1875
180	3326	1855
181	3342	1836
182	3359	1817
183	3376	1798
184	3392	1778
185	3409	1759
186	3425	1740
187	3442	1721
188	3458	1701
189	3475	1682
190	3492	1663
191	3509	1644
192	3529	1627
193	3548	1609
194	3565	1590
195	3582	1572
196	3599	1553
197	3616	1534
198	3633	1515
199	3649	1496
200	3666	1477
201	3683	1458
202	3701	1440
203	3719	1422
204	3736	1403
205	3753	1384
206	3770	1366
207	3787	1347
208	3804	1328
209	3821	1310
210	3838	1291
211	3855	1273
212	3872	1254
213	3889	1235
214	3906	1217
215	3923	1198
216	3940	1180
217	3956	1161
218	3974	1143
219	3990	1124
220	4008	1106
221	4024	1087
222	4045	1070
223	4064	1052
224	4083	1034
225	4100	1016
226	4117	997
227	4134	979
228	4152	961
229	4169	942
230	4185	924
231	4202	905
232	4222	888
233	4242	870
234	4259	851
235	4275	833
236	4292	814
237	4308	796
238	4325	778
239	4342	759
240	4360	741
241	4376	723
242	4393	705
243	4410	686
244	4426	668
245	4443	650
246	4461	632
247	4477	613
248	4494	595
249	4512	577
250	4529	559
251	4546	541
252	4563	523
253	4582	505
254	4599	486
255	4618	469
256	4635	450
257	4651	432
258	4669	414
259	4685	396
260	4702	378
261	4719	360
262	4735	342
263	4752	324
264	4768	305
265	4785	287
266	4801	269
267	4818	251
268	4834	233
269	4851	215
270	4868	197
271	4885	179
272	4901	161
273	4918	143
274	4934	125
275	4951	107
276	4968	89
277	4985	71
278	5002	53
279	5019	35
280	5035	17
281	5052	0
